Value,Source,DMA
"Kansas City, MO",Datorama: Metro,Kansas City
"Knoxville, TN",Datorama: Metro,Knoxville
"La Crosse-Eau Claire, WI",Datorama: Metro,La Crosse-Eau Claire
"Lafayette, IN",Datorama: Metro,"Lafayette, IN"
"Lafayette, LA",Datorama: Metro,"Lafayette, LA"
"Lake Charles, LA",Datorama: Metro,Lake Charles
"Lansing, MI",Datorama: Metro,Lansing
"Laredo, TX",Datorama: Metro,Laredo
"Las Vegas, NV",Datorama: Metro,Las Vegas
"Lexington, KY",Datorama: Metro,Lexington
"Lima, OH",Datorama: Metro,Lima
"Lincoln & Hastings-Kearney, NE",Datorama: Metro,Lincoln & Hastings-Krny
"Little Rock-Pine Bluff, AR",Datorama: Metro,Little Rock-Pine Bluff
"Los Angeles, CA",Datorama: Metro,Los Angeles
"Louisville, KY",Datorama: Metro,Louisville
"Lubbock, TX",Datorama: Metro,Lubbock
"Macon, GA",Datorama: Metro,Macon
"Madison, WI",Datorama: Metro,Madison
"Mankato, MN",Datorama: Metro,Mankato
"Marquette, MI",Datorama: Metro,Marquette
"Medford-Klamath Falls, OR",Datorama: Metro,Medford-Klamath Falls
"Memphis, TN",Datorama: Metro,Memphis
"Meridian, MS",Datorama: Metro,Meridian
"Miami-Ft. Lauderdale, FL",Datorama: Metro,Miami-Ft. Lauderdale
"Milwaukee, WI",Datorama: Metro,Milwaukee
"Minneapolis-St. Paul, MN",Datorama: Metro,Minneapolis-St. Paul
"Minot-Bismarck-Dickinson, ND",Datorama: Metro,Minot-Bsmrck-Dcknsn(Wlstn)
"Missoula, MT",Datorama: Metro,Missoula
"Mobile, AL-Pensacola, FL",Datorama: Metro,Mobile-Pensacola (Ft Walt)
"Monroe, LA-El Dorado, AR",Datorama: Metro,Monroe-El Dorado
"Monterey-Salinas, CA",Datorama: Metro,Monterey-Salinas
"Montgomery (Selma), AL",Datorama: Metro,Montgomery-Selma
"Nashville, TN",Datorama: Metro,Nashville
"New Orleans, LA",Datorama: Metro,New Orleans
"New York, NY",Datorama: Metro,New York
No Metro,Datorama: Metro,No Metro
"Norfolk-Portsmouth-Newport News,VA",Datorama: Metro,Norfolk-Portsmth-Newpt Nws
"North Platte, NE",Datorama: Metro,North Platte
"Odessa-Midland, TX",Datorama: Metro,Odessa-Midland
"Oklahoma City, OK",Datorama: Metro,Oklahoma City
"Omaha, NE",Datorama: Metro,Omaha
"Orlando-Daytona Beach, FL",Datorama: Metro,Orlando-Daytona Bch-Melbrn
