Value,Source,DMA
"Columbus, OH",Facebook: DMA Region,"Columbus, OH"
Columbus-Tupelo-W Pnt-Hstn,Facebook: DMA Region,Columbus-Tupelo-W Pnt-Hstn
Corpus Christi,Facebook: DMA Region,Corpus Christi
Dallas-Ft. Worth,Facebook: DMA Region,Dallas-Ft. Worth
Davenport-R.Island-Moline,Facebook: DMA Region,Davenport-R.Island-Moline
Dayton,Facebook: DMA Region,Dayton
Denver,Facebook: DMA Region,Denver
Des Moines-Ames,Facebook: DMA Region,Des Moines-Ames
Detroit,Facebook: DMA Region,Detroit
Dothan,Facebook: DMA Region,Dothan
Duluth-Superior,Facebook: DMA Region,"Duluth, MN-Superior, WI"
El Paso (Las Cruces),Facebook: DMA Region,El Paso (Las Cruces)
Elmira (Corning),Facebook: DMA Region,Elmira (Corning)
Erie,Facebook: DMA Region,Erie
Eugene,Facebook: DMA Region,Eugene
Eureka,Facebook: DMA Region,Eureka
Evansville,Facebook: DMA Region,Evansville
Fairbanks,Facebook: DMA Region,Fairbanks
Fargo-Valley City,Facebook: DMA Region,Fargo-Valley City
Flint-Saginaw-Bay City,Facebook: DMA Region,Flint-Saginaw-Bay City
Fresno-Visalia,Facebook: DMA Region,Fresno-Visalia
Ft. Myers-Naples,Facebook: DMA Region,Ft. Myers-Naples
Ft. Smith-Fay-Sprngdl-Rgrs,Facebook: DMA Region,Ft. Smith-Fay-Sprngdl-Rgrs
Ft. Wayne,Facebook: DMA Region,Ft. Wayne
Gainesville,Facebook: DMA Region,Gainesville
Glendive,Facebook: DMA Region,Glendive
Grand Junction-Montrose,Facebook: DMA Region,Grand Junction-Montrose
Grand Rapids-Kalmzoo-B.Crk,Facebook: DMA Region,Grand Rapids-Kalmzoo-B.Crk
Great Falls,Facebook: DMA Region,Great Falls
Green Bay-Appleton,Facebook: DMA Region,Green Bay-Appleton
Greensboro-H.Point-W.Salem,Facebook: DMA Region,Greensboro-H.Point-W.Salem
Greenville-N.Bern-Washngtn,Facebook: DMA Region,Greenville-N.Bern-Washngtn
Greenvll-Spart-Ashevll-And,Facebook: DMA Region,Greenvll-Spart-Ashevll-And
Greenwood-Greenville,Facebook: DMA Region,Greenwood-Greenville
Harlingen-Wslco-Brnsvl-Mca,Facebook: DMA Region,Harlingen-Wslco-Brnsvl-Mca
Harrisburg-Lncstr-Leb-York,Facebook: DMA Region,Harrisburg-Lncstr-Leb-York
Harrisonburg,Facebook: DMA Region,Harrisonburg
Hartford & New Haven,Facebook: DMA Region,Hartford & New Haven
Hattiesburg-Laurel,Facebook: DMA Region,Hattiesburg-Laurel
Helena,Facebook: DMA Region,Helena
Honolulu,Facebook: DMA Region,Honolulu
Houston,Facebook: DMA Region,Houston
Huntsville-Decatur (Flor),Facebook: DMA Region,Huntsville-Decatur (Flor)
Idaho Fals-Pocatllo(Jcksn),Facebook: DMA Region,Idaho Fals-Pocatllo(Jcksn)
Indianapolis,Facebook: DMA Region,Indianapolis
"Jackson, MS",Facebook: DMA Region,"Jackson, MS"
"Jackson, TN",Facebook: DMA Region,"Jackson, TN"
Jacksonville,Facebook: DMA Region,Jacksonville
Johnstown-Altoona-St Colge,Facebook: DMA Region,Johnstown-Altoona-St Colge
Jonesboro,Facebook: DMA Region,Jonesboro
Joplin-Pittsburg,Facebook: DMA Region,Joplin-Pittsburg
Juneau,Facebook: DMA Region,Juneau
Kansas City,Facebook: DMA Region,Kansas City
Knoxville,Facebook: DMA Region,Knoxville
La Crosse-Eau Claire,Facebook: DMA Region,La Crosse-Eau Claire
"Lafayette, IN",Facebook: DMA Region,"Lafayette, IN"
"Lafayette, LA",Facebook: DMA Region,"Lafayette, LA"
Lake Charles,Facebook: DMA Region,Lake Charles
Lansing,Facebook: DMA Region,Lansing
Laredo,Facebook: DMA Region,Laredo
Las Vegas,Facebook: DMA Region,Las Vegas
Lexington,Facebook: DMA Region,Lexington
Lima,Facebook: DMA Region,Lima
Lincoln & Hastings-Krny,Facebook: DMA Region,Lincoln & Hastings-Krny
Little Rock-Pine Bluff,Facebook: DMA Region,Little Rock-Pine Bluff
Los Angeles,Facebook: DMA Region,Los Angeles
Louisville,Facebook: DMA Region,Louisville
Lubbock,Facebook: DMA Region,Lubbock
Macon,Facebook: DMA Region,Macon
Madison,Facebook: DMA Region,Madison
Mankato,Facebook: DMA Region,Mankato
Marquette,Facebook: DMA Region,Marquette
Medford-Klamath Falls,Facebook: DMA Region,Medford-Klamath Falls
Memphis,Facebook: DMA Region,Memphis
Meridian,Facebook: DMA Region,Meridian
Miami-Ft. Lauderdale,Facebook: DMA Region,Miami-Ft. Lauderdale
Milwaukee,Facebook: DMA Region,Milwaukee
Minneapolis-St. Paul,Facebook: DMA Region,Minneapolis-St. Paul
Minot-Bsmrck-Dcknsn(Wlstn),Facebook: DMA Region,Minot-Bsmrck-Dcknsn(Wlstn)
Missoula,Facebook: DMA Region,Missoula
Mobile-Pensacola (Ft Walt),Facebook: DMA Region,Mobile-Pensacola (Ft Walt)
Monroe-El Dorado,Facebook: DMA Region,Monroe-El Dorado
Monterey-Salinas,Facebook: DMA Region,Monterey-Salinas
Montgomery-Selma,Facebook: DMA Region,Montgomery-Selma
Myrtle Beach-Florence,Facebook: DMA Region,Myrtle Beach-Florence
Nashville,Facebook: DMA Region,Nashville
New Orleans,Facebook: DMA Region,New Orleans
New York,Facebook: DMA Region,New York
Norfolk-Portsmth-Newpt Nws,Facebook: DMA Region,Norfolk-Portsmth-Newpt Nws
North Platte,Facebook: DMA Region,North Platte
Odessa-Midland,Facebook: DMA Region,Odessa-Midland
Oklahoma City,Facebook: DMA Region,Oklahoma City
Omaha,Facebook: DMA Region,Omaha
Orlando-Daytona Bch-Melbrn,Facebook: DMA Region,Orlando-Daytona Bch-Melbrn
Ottumwa-Kirksville,Facebook: DMA Region,Ottumwa-Kirksville
Paducah-Cape Girard-Harsbg,Facebook: DMA Region,Paducah-Cape Girard-Harsbg
Palm Springs,Facebook: DMA Region,Palm Springs
Panama City,Facebook: DMA Region,Panama City
Parkersburg,Facebook: DMA Region,Parkersburg
Peoria-Bloomington,Facebook: DMA Region,Peoria-Bloomington
Philadelphia,Facebook: DMA Region,Philadelphia
Phoenix (Prescott),Facebook: DMA Region,Phoenix (Prescott)
Pittsburgh,Facebook: DMA Region,Pittsburgh
"Portland, OR",Facebook: DMA Region,"Portland, OR"
Portland-Auburn,Facebook: DMA Region,Portland-Auburn
Presque Isle,Facebook: DMA Region,Presque Isle
Providence-New Bedford,Facebook: DMA Region,Providence-New Bedford
Quincy-Hannibal-Keokuk,Facebook: DMA Region,Quincy-Hannibal-Keokuk
Raleigh-Durham (Fayetvlle),Facebook: DMA Region,Raleigh-Durham (Fayetvlle)
Rapid City,Facebook: DMA Region,Rapid City
Reno,Facebook: DMA Region,Reno
Richmond-Petersburg,Facebook: DMA Region,Richmond-Petersburg
Roanoke-Lynchburg,Facebook: DMA Region,Roanoke-Lynchburg
"Rochester, NY",Facebook: DMA Region,"Rochester, NY"
Rochester-Mason City-Austin,Facebook: DMA Region,Rochester-Mason City-Austin
Rockford,Facebook: DMA Region,Rockford
Sacramnto-Stkton-Modesto,Facebook: DMA Region,Sacramnto-Stkton-Modesto
Salisbury,Facebook: DMA Region,Salisbury
Salt Lake City,Facebook: DMA Region,Salt Lake City
San Angelo,Facebook: DMA Region,San Angelo
San Antonio,Facebook: DMA Region,San Antonio
San Diego,Facebook: DMA Region,San Diego
San Francisco-Oak-San Jose,Facebook: DMA Region,San Francisco-Oak-San Jose
Santabarbra-Sanmar-Sanluob,Facebook: DMA Region,Santabarbra-Sanmar-Sanluob
Savannah,Facebook: DMA Region,Savannah
Seattle-Tacoma,Facebook: DMA Region,Seattle-Tacoma
Sherman-Ada,Facebook: DMA Region,Sherman-Ada
Shreveport,Facebook: DMA Region,Shreveport
Sioux City,Facebook: DMA Region,Sioux City
Sioux Falls(Mitchell),Facebook: DMA Region,Sioux Falls(Mitchell)
South Bend-Elkhart,Facebook: DMA Region,South Bend-Elkhart
Spokane,Facebook: DMA Region,Spokane
"Springfield, MO",Facebook: DMA Region,"Springfield, MO"
Springfield-Holyoke,Facebook: DMA Region,Springfield-Holyoke
St. Joseph,Facebook: DMA Region,St. Joseph
St. Louis,Facebook: DMA Region,St. Louis
Syracuse,Facebook: DMA Region,Syracuse
Tallahassee-Thomasville,Facebook: DMA Region,Tallahassee-Thomasville
Tampa-St. Pete (Sarasota),Facebook: DMA Region,Tampa-St. Pete (Sarasota)
Terre Haute,Facebook: DMA Region,Terre Haute
Toledo,Facebook: DMA Region,Toledo
Topeka,Facebook: DMA Region,Topeka
Traverse City-Cadillac,Facebook: DMA Region,Traverse City-Cadillac
"Tri-Cities, TN-VA",Facebook: DMA Region,"Tri-Cities, TN-VA"
Tucson (Sierra Vista),Facebook: DMA Region,Tucson (Sierra Vista)
Tulsa,Facebook: DMA Region,Tulsa
Twin Falls,Facebook: DMA Region,Twin Falls
Tyler-Longview(Lfkn&Ncgd),Facebook: DMA Region,Tyler-Longview(Lfkn&Ncgd)
Unknown,Facebook: DMA Region,Unknown
Utica,Facebook: DMA Region,Utica
Victoria,Facebook: DMA Region,Victoria
Waco-Temple-Bryan,Facebook: DMA Region,Waco-Temple-Bryan
"Washington, DC (Hagrstwn)",Facebook: DMA Region,"Washington, DC (Hagrstwn)"
Watertown,Facebook: DMA Region,Watertown
Wausau-Rhinelander,Facebook: DMA Region,Wausau-Rhinelander
West Palm Beach-Ft. Pierce,Facebook: DMA Region,West Palm Beach-Ft. Pierce
Wheeling-Steubenville,Facebook: DMA Region,Wheeling-Steubenville
Wichita Falls & Lawton,Facebook: DMA Region,Wichita Falls & Lawton
Wichita-Hutchinson Plus,Facebook: DMA Region,Wichita-Hutchinson Plus
Wilkes Barre-Scranton-Hztn,Facebook: DMA Region,Wilkes Barre-Scranton-Hztn
Wilmington,Facebook: DMA Region,Wilmington
Yakima-Pasco-Rchlnd-Knnwck,Facebook: DMA Region,Yakima-Pasco-Rchlnd-Knnwck
Youngstown,Facebook: DMA Region,Youngstown
Yuma-El Centro,Facebook: DMA Region,Yuma-El Centro
Zanesville,Facebook: DMA Region,Zanesville
(not set),Google Analytics: Metro,No Metro
Abilene-Sweetwater TX,Google Analytics: Metro,Abilene-Sweetwater
Albany GA,Google Analytics: Metro,"Albany, GA"
Albany-Schenectady-Troy NY,Google Analytics: Metro,Albany-Schenectady-Troy
Albuquerque-Santa Fe NM,Google Analytics: Metro,Albuquerque-Santa Fe
Alexandria LA,Google Analytics: Metro,"Alexandria, LA"
Alpena MI,Google Analytics: Metro,Alpena
Amarillo TX,Google Analytics: Metro,Amarillo
Anchorage AK,Google Analytics: Metro,Anchorage
Atlanta GA,Google Analytics: Metro,Atlanta
Augusta GA,Google Analytics: Metro,Augusta-Aiken
Austin TX,Google Analytics: Metro,Austin
Bakersfield CA,Google Analytics: Metro,Bakersfield
Baltimore MD,Google Analytics: Metro,Baltimore
Bangor ME,Google Analytics: Metro,Bangor
Baton Rouge LA,Google Analytics: Metro,Baton Rouge
Beaumont-Port Arthur TX,Google Analytics: Metro,Beaumont-Port Arthur
Bend OR,Google Analytics: Metro,"Bend, OR"
"Billings, MT",Google Analytics: Metro,Billings
Biloxi-Gulfport MS,Google Analytics: Metro,Biloxi-Gulfport
Binghamton NY,Google Analytics: Metro,Binghamton
Birmingham (Ann and Tusc) AL,Google Analytics: Metro,Birmingham (Ann And Tusc)
Bluefield-Beckley-Oak Hill WV,Google Analytics: Metro,Bluefield-Beckley-Oak Hill
Boise ID,Google Analytics: Metro,Boise
Border,Google Analytics: Metro,No Metro
Boston MA-Manchester NH,Google Analytics: Metro,Boston (Manchester)
Bowling Green KY,Google Analytics: Metro,Bowling Green
Buffalo NY,Google Analytics: Metro,Buffalo
Burlington VT-Plattsburgh NY,Google Analytics: Metro,Burlington-Plattsburgh
Butte-Bozeman MT,Google Analytics: Metro,Butte-Bozeman
Casper-Riverton WY,Google Analytics: Metro,Casper-Riverton
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,Google Analytics: Metro,Cedar Rapids-Wtrlo-Iwc&Dub
Central Scotland,Google Analytics: Metro,No Metro
Champaign & Springfield-Decatur IL,Google Analytics: Metro,Champaign&Sprngfld-Decatur
Charleston SC,Google Analytics: Metro,"Charleston, SC"
Charleston-Huntington WV,Google Analytics: Metro,Charleston-Huntington
Charlotte NC,Google Analytics: Metro,Charlotte
Charlottesville VA,Google Analytics: Metro,Charlottesville
Chattanooga TN,Google Analytics: Metro,Chattanooga
Cheyenne WY-Scottsbluff NE,Google Analytics: Metro,Cheyenne-Scottsbluf
Chicago IL,Google Analytics: Metro,Chicago
Chico-Redding CA,Google Analytics: Metro,Chico-Redding
Cincinnati OH,Google Analytics: Metro,Cincinnati
Clarksburg-Weston WV,Google Analytics: Metro,Clarksburg-Weston
Cleveland-Akron (Canton) OH,Google Analytics: Metro,Cleveland-Akron (Canton)
Colorado Springs-Pueblo CO,Google Analytics: Metro,Colorado Springs-Pueblo
Columbia SC,Google Analytics: Metro,"Columbia, SC"
Columbia-Jefferson City MO,Google Analytics: Metro,Columbia-Jefferson City
Columbus GA,Google Analytics: Metro,"Columbus, GA (Opelika, Al)"
Columbus OH,Google Analytics: Metro,"Columbus, OH"
Columbus-Tupelo-West Point MS,Google Analytics: Metro,Columbus-Tupelo-W Pnt-Hstn
Corpus Christi TX,Google Analytics: Metro,Corpus Christi
Dallas-Ft. Worth TX,Google Analytics: Metro,Dallas-Ft. Worth
Davenport IA-Rock Island-Moline IL,Google Analytics: Metro,Davenport-R.Island-Moline
Dayton OH,Google Analytics: Metro,Dayton
Denver CO,Google Analytics: Metro,Denver
Des Moines-Ames IA,Google Analytics: Metro,Des Moines-Ames
Detroit MI,Google Analytics: Metro,Detroit
Dothan AL,Google Analytics: Metro,Dothan
Duluth MN-Superior WI,Google Analytics: Metro,"Duluth, MN-Superior, WI"
East Of England,Google Analytics: Metro,No Metro
El Paso TX,Google Analytics: Metro,El Paso (Las Cruces)
Elmira (Corning) NY,Google Analytics: Metro,Elmira (Corning)
Erie PA,Google Analytics: Metro,Erie
Eugene OR,Google Analytics: Metro,Eugene
Eureka CA,Google Analytics: Metro,Eureka
Evansville IN,Google Analytics: Metro,Evansville
Fairbanks AK,Google Analytics: Metro,Fairbanks
Fargo-Valley City ND,Google Analytics: Metro,Fargo-Valley City
Flint-Saginaw-Bay City MI,Google Analytics: Metro,Flint-Saginaw-Bay City
Florence-Myrtle Beach SC,Google Analytics: Metro,Myrtle Beach-Florence
Fresno-Visalia CA,Google Analytics: Metro,Fresno-Visalia
Ft. Myers-Naples FL,Google Analytics: Metro,Ft. Myers-Naples
Ft. Smith-Fayetteville-Springdale-Rogers AR,Google Analytics: Metro,Ft. Smith-Fay-Sprngdl-Rgrs
Ft. Wayne IN,Google Analytics: Metro,Ft. Wayne
Gainesville FL,Google Analytics: Metro,Gainesville
Glendive MT,Google Analytics: Metro,Glendive
Grand Junction-Montrose CO,Google Analytics: Metro,Grand Junction-Montrose
Grand Rapids-Kalamazoo-Battle Creek MI,Google Analytics: Metro,Grand Rapids-Kalmzoo-B.Crk
Great Falls MT,Google Analytics: Metro,Great Falls
Green Bay-Appleton WI,Google Analytics: Metro,Green Bay-Appleton
Greensboro-High Point-Winston Salem NC,Google Analytics: Metro,Greensboro-H.Point-W.Salem
Greenville-New Bern-Washington NC,Google Analytics: Metro,Greenville-N.Bern-Washngtn
Greenville-Spartanburg-Asheville-Anderson,Google Analytics: Metro,Greenvll-Spart-Ashevll-And
Greenwood-Greenville MS,Google Analytics: Metro,Greenwood-Greenville
Harlingen-Weslaco-Brownsville-McAllen TX,Google Analytics: Metro,Harlingen-Wslco-Brnsvl-Mca
Harrisburg-Lancaster-Lebanon-York PA,Google Analytics: Metro,Harrisburg-Lncstr-Leb-York
Harrisonburg VA,Google Analytics: Metro,Harrisonburg
Hartford & New Haven CT,Google Analytics: Metro,Hartford & New Haven
Hattiesburg-Laurel MS,Google Analytics: Metro,Hattiesburg-Laurel
Helena MT,Google Analytics: Metro,Helena
Honolulu HI,Google Analytics: Metro,Honolulu
Houston TX,Google Analytics: Metro,Houston
HTV Wales,Google Analytics: Metro,No Metro
HTV West,Google Analytics: Metro,No Metro
Huntsville-Decatur (Florence) AL,Google Analytics: Metro,Huntsville-Decatur (Flor)
Idaho Falls-Pocatello ID,Google Analytics: Metro,Idaho Fals-Pocatllo(Jcksn)
Indianapolis IN,Google Analytics: Metro,Indianapolis
Jackson MS,Google Analytics: Metro,"Jackson, MS"
Jackson TN,Google Analytics: Metro,"Jackson, TN"
Jacksonville FL,Google Analytics: Metro,Jacksonville
Johnstown-Altoona-State College PA,Google Analytics: Metro,Johnstown-Altoona-St Colge
Jonesboro AR,Google Analytics: Metro,Jonesboro
Joplin MO-Pittsburg KS,Google Analytics: Metro,Joplin-Pittsburg
JP_CHUKYO,Google Analytics: Metro,No Metro
JP_KANTO,Google Analytics: Metro,No Metro
JP_KINKI,Google Analytics: Metro,No Metro
JP_OTHER,Google Analytics: Metro,No Metro
Juneau AK,Google Analytics: Metro,Juneau
Kansas City MO,Google Analytics: Metro,Kansas City
Knoxville TN,Google Analytics: Metro,Knoxville
La Crosse-Eau Claire WI,Google Analytics: Metro,La Crosse-Eau Claire
Lafayette IN,Google Analytics: Metro,"Lafayette, IN"
Lafayette LA,Google Analytics: Metro,"Lafayette, LA"
Lake Charles LA,Google Analytics: Metro,Lake Charles
Lansing MI,Google Analytics: Metro,Lansing
Laredo TX,Google Analytics: Metro,Laredo
Las Vegas NV,Google Analytics: Metro,Las Vegas
Lexington KY,Google Analytics: Metro,Lexington
Lima OH,Google Analytics: Metro,Lima
Lincoln & Hastings-Kearney NE,Google Analytics: Metro,Lincoln & Hastings-Krny
Little Rock-Pine Bluff AR,Google Analytics: Metro,Little Rock-Pine Bluff
London,Google Analytics: Metro,No Metro
Los Angeles CA,Google Analytics: Metro,Los Angeles
Louisville KY,Google Analytics: Metro,Louisville
Lubbock TX,Google Analytics: Metro,Lubbock
Macon GA,Google Analytics: Metro,Macon
Madison WI,Google Analytics: Metro,Madison
Mankato MN,Google Analytics: Metro,Mankato
Marquette MI,Google Analytics: Metro,Marquette
Medford-Klamath Falls OR,Google Analytics: Metro,Medford-Klamath Falls
Memphis TN,Google Analytics: Metro,Memphis
Meridian (exc. Channel Islands),Google Analytics: Metro,No Metro
Meridian MS,Google Analytics: Metro,Meridian
Miami-Ft. Lauderdale FL,Google Analytics: Metro,Miami-Ft. Lauderdale
Midlands,Google Analytics: Metro,No Metro
Milwaukee WI,Google Analytics: Metro,Milwaukee
Minneapolis-St. Paul MN,Google Analytics: Metro,Minneapolis-St. Paul
Minot-Bismarck-Dickinson(Williston) ND,Google Analytics: Metro,Minot-Bsmrck-Dcknsn(Wlstn)
Missoula MT,Google Analytics: Metro,Missoula
Mobile AL-Pensacola (Ft. Walton Beach) FL,Google Analytics: Metro,Mobile-Pensacola (Ft Walt)
Monroe LA-El Dorado AR,Google Analytics: Metro,Monroe-El Dorado
Monterey-Salinas CA,Google Analytics: Metro,Monterey-Salinas
"Montgomery-Selma, AL",Google Analytics: Metro,Montgomery-Selma
Nashville TN,Google Analytics: Metro,Nashville
New Orleans LA,Google Analytics: Metro,New Orleans
"New York, NY",Google Analytics: Metro,New York
Norfolk-Portsmouth-Newport News VA,Google Analytics: Metro,Norfolk-Portsmth-Newpt Nws
North East,Google Analytics: Metro,No Metro
North Platte NE,Google Analytics: Metro,North Platte
North Scotland,Google Analytics: Metro,No Metro
North West,Google Analytics: Metro,No Metro
Odessa-Midland TX,Google Analytics: Metro,Odessa-Midland
Oklahoma City OK,Google Analytics: Metro,Oklahoma City
Omaha NE,Google Analytics: Metro,Omaha
Orlando-Daytona Beach-Melbourne FL,Google Analytics: Metro,Orlando-Daytona Bch-Melbrn
Ottumwa IA-Kirksville MO,Google Analytics: Metro,Ottumwa-Kirksville
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,Google Analytics: Metro,Paducah-Cape Girard-Harsbg
Palm Springs CA,Google Analytics: Metro,Palm Springs
Panama City FL,Google Analytics: Metro,Panama City
Parkersburg WV,Google Analytics: Metro,Parkersburg
Peoria-Bloomington IL,Google Analytics: Metro,Peoria-Bloomington
Philadelphia PA,Google Analytics: Metro,Philadelphia
Phoenix AZ,Google Analytics: Metro,Phoenix (Prescott)
Pittsburgh PA,Google Analytics: Metro,Pittsburgh
Portland OR,Google Analytics: Metro,"Portland, OR"
Portland-Auburn ME,Google Analytics: Metro,Portland-Auburn
Presque Isle ME,Google Analytics: Metro,Presque Isle
"Providence-New Bedford,MA",Google Analytics: Metro,Providence-New Bedford
Quincy IL-Hannibal MO-Keokuk IA,Google Analytics: Metro,Quincy-Hannibal-Keokuk
Raleigh-Durham (Fayetteville) NC,Google Analytics: Metro,Raleigh-Durham (Fayetvlle)
Rapid City SD,Google Analytics: Metro,Rapid City
Reno NV,Google Analytics: Metro,Reno
Richmond-Petersburg VA,Google Analytics: Metro,Richmond-Petersburg
Roanoke-Lynchburg VA,Google Analytics: Metro,Roanoke-Lynchburg
Rochester NY,Google Analytics: Metro,"Rochester, NY"
"Rochester-Mason City-Austin,IA",Google Analytics: Metro,Rochester-Mason City-Austin
Rockford IL,Google Analytics: Metro,Rockford
Sacramento-Stockton-Modesto CA,Google Analytics: Metro,Sacramnto-Stkton-Modesto
Salisbury MD,Google Analytics: Metro,Salisbury
Salt Lake City UT,Google Analytics: Metro,Salt Lake City
San Angelo TX,Google Analytics: Metro,San Angelo
San Antonio TX,Google Analytics: Metro,San Antonio
San Diego CA,Google Analytics: Metro,San Diego
San Francisco-Oakland-San Jose CA,Google Analytics: Metro,San Francisco-Oak-San Jose
Santa Barbara-Santa Maria-San Luis Obispo CA,Google Analytics: Metro,Santabarbra-Sanmar-Sanluob
Savannah GA,Google Analytics: Metro,Savannah
Seattle-Tacoma WA,Google Analytics: Metro,Seattle-Tacoma
"Sherman-Ada, OK",Google Analytics: Metro,Sherman-Ada
Shreveport LA,Google Analytics: Metro,Shreveport
Sioux City IA,Google Analytics: Metro,Sioux City
Sioux Falls(Mitchell) SD,Google Analytics: Metro,Sioux Falls(Mitchell)
South Bend-Elkhart IN,Google Analytics: Metro,South Bend-Elkhart
South West,Google Analytics: Metro,No Metro
Spokane WA,Google Analytics: Metro,Spokane
Springfield MO,Google Analytics: Metro,"Springfield, MO"
Springfield-Holyoke MA,Google Analytics: Metro,Springfield-Holyoke
St. Joseph MO,Google Analytics: Metro,St. Joseph
St. Louis MO,Google Analytics: Metro,St. Louis
Syracuse NY,Google Analytics: Metro,Syracuse
Tallahassee FL-Thomasville GA,Google Analytics: Metro,Tallahassee-Thomasville
Tampa-St. Petersburg (Sarasota) FL,Google Analytics: Metro,Tampa-St. Pete (Sarasota)
Terre Haute IN,Google Analytics: Metro,Terre Haute
Toledo OH,Google Analytics: Metro,Toledo
Topeka KS,Google Analytics: Metro,Topeka
Traverse City-Cadillac MI,Google Analytics: Metro,Traverse City-Cadillac
Tri-Cities TN-VA,Google Analytics: Metro,"Tri-Cities, TN-VA"
Tucson (Sierra Vista) AZ,Google Analytics: Metro,Tucson (Sierra Vista)
Tulsa OK,Google Analytics: Metro,Tulsa
Twin Falls ID,Google Analytics: Metro,Twin Falls
Tyler-Longview(Lufkin & Nacogdoches) TX,Google Analytics: Metro,Tyler-Longview(Lfkn&Ncgd)
Ulster,Google Analytics: Metro,No Metro
Utica NY,Google Analytics: Metro,Utica
Victoria TX,Google Analytics: Metro,Victoria
Waco-Temple-Bryan TX,Google Analytics: Metro,Waco-Temple-Bryan
Washington DC (Hagerstown MD),Google Analytics: Metro,"Washington, DC (Hagrstwn)"
Watertown NY,Google Analytics: Metro,Watertown
Wausau-Rhinelander WI,Google Analytics: Metro,Wausau-Rhinelander
West Palm Beach-Ft. Pierce FL,Google Analytics: Metro,West Palm Beach-Ft. Pierce
Wheeling WV-Steubenville OH,Google Analytics: Metro,Wheeling-Steubenville
Wichita Falls TX & Lawton OK,Google Analytics: Metro,Wichita Falls & Lawton
Wichita-Hutchinson KS,Google Analytics: Metro,Wichita-Hutchinson Plus
Wilkes Barre-Scranton PA,Google Analytics: Metro,Wilkes Barre-Scranton-Hztn
Wilmington NC,Google Analytics: Metro,Wilmington
Yakima-Pasco-Richland-Kennewick WA,Google Analytics: Metro,Yakima-Pasco-Rchlnd-Knnwck
Yorkshire,Google Analytics: Metro,No Metro
Youngstown OH,Google Analytics: Metro,Youngstown
Yuma AZ-El Centro CA,Google Analytics: Metro,Yuma-El Centro
Zanesville OH,Google Analytics: Metro,Zanesville
Abilene-Sweetwater TX,Google Ads: Metro Area,Abilene-Sweetwater
Albany GA,Google Ads: Metro Area,"Albany, GA"
Albany-Schenectady-Troy NY,Google Ads: Metro Area,Albany-Schenectady-Troy
Albuquerque-Santa Fe NM,Google Ads: Metro Area,Albuquerque-Santa Fe
Alexandria LA,Google Ads: Metro Area,"Alexandria, LA"
Alpena MI,Google Ads: Metro Area,Alpena
Amarillo TX,Google Ads: Metro Area,Amarillo
Anchorage AK,Google Ads: Metro Area,Anchorage
Atlanta GA,Google Ads: Metro Area,Atlanta
Augusta GA,Google Ads: Metro Area,Augusta-Aiken
Austin TX,Google Ads: Metro Area,Austin
Bakersfield CA,Google Ads: Metro Area,Bakersfield
Baltimore MD,Google Ads: Metro Area,Baltimore
Bangor ME,Google Ads: Metro Area,Bangor
Baton Rouge LA,Google Ads: Metro Area,Baton Rouge
Beaumont-Port Arthur TX,Google Ads: Metro Area,Beaumont-Port Arthur
Bend OR,Google Ads: Metro Area,"Bend, OR"
"Billings, MT",Google Ads: Metro Area,Billings
Biloxi-Gulfport MS,Google Ads: Metro Area,Biloxi-Gulfport
Binghamton NY,Google Ads: Metro Area,Binghamton
Birmingham (Ann and Tusc) AL,Google Ads: Metro Area,Birmingham (Ann And Tusc)
Bluefield-Beckley-Oak Hill WV,Google Ads: Metro Area,Bluefield-Beckley-Oak Hill
Boise ID,Google Ads: Metro Area,Boise
Boston MA-Manchester NH,Google Ads: Metro Area,Boston (Manchester)
Bowling Green KY,Google Ads: Metro Area,Bowling Green
Buffalo NY,Google Ads: Metro Area,Buffalo
Burlington VT-Plattsburgh NY,Google Ads: Metro Area,Burlington-Plattsburgh
Butte-Bozeman MT,Google Ads: Metro Area,Butte-Bozeman
Casper-Riverton WY,Google Ads: Metro Area,Casper-Riverton
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,Google Ads: Metro Area,Cedar Rapids-Wtrlo-Iwc&Dub
Champaign & Springfield-Decatur IL,Google Ads: Metro Area,Champaign&Sprngfld-Decatur
Charleston SC,Google Ads: Metro Area,"Charleston, SC"
Charleston-Huntington WV,Google Ads: Metro Area,Charleston-Huntington
Charlotte NC,Google Ads: Metro Area,Charlotte
Charlottesville VA,Google Ads: Metro Area,Charlottesville
Chattanooga TN,Google Ads: Metro Area,Chattanooga
Cheyenne WY-Scottsbluff NE,Google Ads: Metro Area,Cheyenne-Scottsbluf
Chicago IL,Google Ads: Metro Area,Chicago
Chico-Redding CA,Google Ads: Metro Area,Chico-Redding
Cincinnati OH,Google Ads: Metro Area,Cincinnati
Clarksburg-Weston WV,Google Ads: Metro Area,Clarksburg-Weston
Cleveland-Akron (Canton) OH,Google Ads: Metro Area,Cleveland-Akron (Canton)
Colorado Springs-Pueblo CO,Google Ads: Metro Area,Colorado Springs-Pueblo
Columbia SC,Google Ads: Metro Area,"Columbia, SC"
Columbia-Jefferson City MO,Google Ads: Metro Area,Columbia-Jefferson City
Columbus GA,Google Ads: Metro Area,"Columbus, GA (Opelika, Al)"
Columbus OH,Google Ads: Metro Area,"Columbus, OH"
